token	corpus size	all contexts size	frequency	co-frequency	specificity
فقد	44732	21391	50	32	2.08
وحكم	44732	21391	12	10	1.95
محمد	44732	21391	12	10	1.95
يرتبط	44732	21391	12	10	1.95
أساس	44732	21391	12	10	1.95
نظرية	44732	21391	12	10	1.95
لما	44732	21391	22	16	1.95
باعتباره	44732	21391	22	16	1.95
صديقي،	44732	21391	6	6	1.92
وأروع	44732	21391	6	6	1.92
هندسة	44732	21391	6	6	1.92
جسراً	44732	21391	6	6	1.92
نهر	44732	21391	6	6	1.92
شرفك	44732	21391	6	6	1.92
يقدر	44732	21391	6	6	1.92
بقيمة،	44732	21391	6	6	1.92
مصراعيه	44732	21391	6	6	1.92
شمعة	44732	21391	6	6	1.92
تويتر	44732	21391	6	6	1.92
والرضا	44732	21391	6	6	1.92
يقلل	44732	21391	6	6	1.92
أبو	44732	21391	6	6	1.92
فلولا	44732	21391	6	6	1.92
الكبرى	44732	21391	6	6	1.92
والصمود	44732	21391	6	6	1.92
الأولى	44732	21391	6	6	1.92
الكتاب	44732	21391	6	6	1.92
ملازمٌ	44732	21391	6	6	1.92
باقي	44732	21391	6	6	1.92
والبشر	44732	21391	6	6	1.92
فكر	44732	21391	6	6	1.92
2020	44732	21391	17	13	1.92
BUTTON	44732	21391	17	13	1.92
الصغيرة،	44732	21391	9	8	1.89
صغر	44732	21391	9	8	1.89
مستويات	44732	21391	9	8	1.89
الآخر	44732	21391	9	8	1.89
علمية	44732	21391	9	8	1.89
الأبدي	44732	21391	9	8	1.89
3	44732	21391	24	17	1.89
بأن	44732	21391	82	48	1.87
الحياة	44732	21391	205	110	1.86
في	44732	21391	1363	667	1.81
بين	44732	21391	73	43	1.81
مواجهة	44732	21391	28	19	1.79
الإيمان	44732	21391	56	34	1.78
بشكل	44732	21391	58	35	1.77
أما	44732	21391	30	20	1.76
معنى	44732	21391	16	12	1.71
القرآن	44732	21391	16	12	1.71
ومع	44732	21391	23	16	1.71
القوي	44732	21391	11	9	1.71
اليأس	44732	21391	92	52	1.68
واليأس	44732	21391	18	13	1.64
الأعذار	44732	21391	8	7	1.62
يبقى	44732	21391	8	7	1.62
المستحيل	44732	21391	8	7	1.62
يمنح	44732	21391	8	7	1.62
النوع	44732	21391	8	7	1.62
بلوخ	44732	21391	8	7	1.62
كيركغور	44732	21391	8	7	1.62
تحديث	44732	21391	5	5	1.60
نصف	44732	21391	5	5	1.60
إحساسك	44732	21391	5	5	1.60
بذاته	44732	21391	5	5	1.60
أراد	44732	21391	5	5	1.60
جيد،	44732	21391	5	5	1.60
ولديه	44732	21391	5	5	1.60
يمتلكون	44732	21391	5	5	1.60
وحب	44732	21391	5	5	1.60
مقالات	44732	21391	5	5	1.60
خطر	44732	21391	5	5	1.60
9	44732	21391	5	5	1.60
10	44732	21391	5	5	1.60
طويل	44732	21391	5	5	1.60
يتشبث	44732	21391	5	5	1.60
بالتشاؤم	44732	21391	5	5	1.60
لمثل	44732	21391	5	5	1.60
الطاقة	44732	21391	5	5	1.60
أجلّ	44732	21391	5	5	1.60
ينعم	44732	21391	5	5	1.60
ويقابل	44732	21391	5	5	1.60
تحل	44732	21391	5	5	1.60
الفعال	44732	21391	5	5	1.60
32	44732	21391	5	5	1.60
الخواطر	44732	21391	5	5	1.60
القادم	44732	21391	5	5	1.60
عبارة	44732	21391	5	5	1.60
موضوع	44732	21391	5	5	1.60
249	44732	21391	5	5	1.60
باب	44732	21391	13	10	1.60
الكريم	44732	21391	13	10	1.60
وجه	44732	21391	13	10	1.60
الاستمرار	44732	21391	13	10	1.60
عبد	44732	21391	13	10	1.60
قصيرة	44732	21391	13	10	1.60
الرجاء	44732	21391	13	10	1.60
1847	44732	21391	13	10	1.60
ضاع	44732	21391	20	14	1.59
لدى	44732	21391	20	14	1.59
ما	44732	21391	368	185	1.57
لأن	44732	21391	35	22	1.55
حيث	44732	21391	35	22	1.55
دائماً	44732	21391	22	15	1.55
أحد	44732	21391	37	23	1.54
أهمية	44732	21391	15	11	1.52
شعور	44732	21391	15	11	1.52
علم	44732	21391	15	11	1.52
1995	44732	21391	15	11	1.52
النفس	44732	21391	45	27	1.50
ليس	44732	21391	47	28	1.50
دائم	44732	21391	10	8	1.48
حِكَم	44732	21391	10	8	1.48
يعمل	44732	21391	10	8	1.48
وفلسفية	44732	21391	10	8	1.48
طاقة	44732	21391	10	8	1.48
العلاقة	44732	21391	10	8	1.48
1	44732	21391	28	18	1.47
وتعالى	44732	21391	17	12	1.47
والتفاؤل،	44732	21391	17	12	1.47
مجرد	44732	21391	19	13	1.43
حالة	44732	21391	19	13	1.43
كان	44732	21391	131	69	1.43
كانط	44732	21391	40	24	1.41
منك	44732	21391	21	14	1.40
يجب	44732	21391	52	30	1.39
رحمة	44732	21391	12	9	1.39
الفلسفة	44732	21391	12	9	1.39
يعزز	44732	21391	12	9	1.39
والثقة	44732	21391	23	15	1.38
عجوزاً	44732	21391	7	6	1.36
أشخاص	44732	21391	7	6	1.36
الإنسان،	44732	21391	7	6	1.36
غرس	44732	21391	7	6	1.36
الأسئلة	44732	21391	7	6	1.36
وتحقيق	44732	21391	7	6	1.36
تعريف	44732	21391	7	6	1.36
مصادر	44732	21391	7	6	1.36
يوفر	44732	21391	7	6	1.36
تفاؤل	44732	21391	14	10	1.33
منذ	44732	21391	14	10	1.33
النبي	44732	21391	14	10	1.33
لتحقيق	44732	21391	14	10	1.33
ومهما	44732	21391	16	11	1.30
أبريل	44732	21391	4	4	1.28
٢٠٢٢	44732	21391	4	4	1.28
يؤدّي	44732	21391	4	4	1.28
الظلام،	44732	21391	4	4	1.28
فعندما	44732	21391	4	4	1.28
مقاومة	44732	21391	4	4	1.28
عابر،	44732	21391	4	4	1.28
قصر	44732	21391	4	4	1.28
المصائب	44732	21391	4	4	1.28
يعيد	44732	21391	4	4	1.28
تبقى	44732	21391	4	4	1.28
غارس	44732	21391	4	4	1.28
يبث	44732	21391	4	4	1.28
عبادة	44732	21391	4	4	1.28
وتتراكم	44732	21391	4	4	1.28
الخسارات،	44732	21391	4	4	1.28
يمنحه	44732	21391	4	4	1.28
ربط	44732	21391	4	4	1.28
يعرّف	44732	21391	4	4	1.28
كعامل	44732	21391	4	4	1.28
الاكتئاب	44732	21391	4	4	1.28
الرحمن،	44732	21391	4	4	1.28
اضطراب	44732	21391	4	4	1.28
الصدمة	44732	21391	4	4	1.28
النازحين	44732	21391	4	4	1.28
السوريين	44732	21391	4	4	1.28
حسين،	44732	21391	4	4	1.28
الصمود	44732	21391	4	4	1.28
هو؟	44732	21391	4	4	1.28
حياتنا؟	44732	21391	4	4	1.28
مشاكل	44732	21391	4	4	1.28
ينطوي	44732	21391	4	4	1.28
قادر	44732	21391	4	4	1.28
والسنة	44732	21391	4	4	1.28
السلف	44732	21391	4	4	1.28
أعمال	44732	21391	4	4	1.28
مدونات	44732	21391	4	4	1.28
حفظ	44732	21391	4	4	1.28
يقترن	44732	21391	4	4	1.28
خسارة	44732	21391	4	4	1.28
مؤثرة	44732	21391	4	4	1.28
نحتاج	44732	21391	4	4	1.28
جزءاً	44732	21391	4	4	1.28
تجربة	44732	21391	4	4	1.28
تتعلق	44732	21391	4	4	1.28
ومواجهة	44732	21391	4	4	1.28
أبدًا	44732	21391	4	4	1.28
الرومان	44732	21391	4	4	1.28
الخاطرة	44732	21391	4	4	1.28
شئ	44732	21391	4	4	1.28
نوقش	44732	21391	4	4	1.28
Gravlee	44732	21391	4	4	1.28
معالجة	44732	21391	4	4	1.28
الأخلاق	44732	21391	4	4	1.28
الديني	44732	21391	4	4	1.28
Human،	44732	21391	4	4	1.28
أولًا	44732	21391	4	4	1.28
“اعتراض	44732	21391	4	4	1.28
share	44732	21391	4	4	1.28
4	44732	21391	18	12	1.27
دائمًا	44732	21391	20	13	1.25
الذي	44732	21391	201	97	1.25
تموت	44732	21391	9	7	1.25
لديه	44732	21391	9	7	1.25
وطاقته	44732	21391	9	7	1.25
وسط	44732	21391	9	7	1.25
أحمد	44732	21391	9	7	1.25
بالحياة	44732	21391	9	7	1.25
شارك	44732	21391	9	7	1.25
طالما	44732	21391	9	7	1.25
التفسير	44732	21391	9	7	1.25
بل	44732	21391	81	43	1.25
أيضًا	44732	21391	52	29	1.24
أبداً	44732	21391	11	8	1.19
تبني	44732	21391	11	8	1.19
دور	44732	21391	11	8	1.19
اللّه	44732	21391	11	8	1.19
بوجود	44732	21391	11	8	1.19
اليأس،	44732	21391	11	8	1.19
يمكن	44732	21391	152	73	1.19
هذا	44732	21391	152	73	1.19
وهو	44732	21391	66	35	1.16
يعرف	44732	21391	13	9	1.16
بالضرورة	44732	21391	13	9	1.16
أنه	44732	21391	99	50	1.16
بها	44732	21391	41	23	1.15
إن	44732	21391	84	43	1.14
جميل	44732	21391	15	10	1.14
الثاني	44732	21391	15	10	1.14
حد	44732	21391	15	10	1.14
البشرية	44732	21391	15	10	1.14
والعمل	44732	21391	15	10	1.14
عليه	44732	21391	118	57	1.14
تلك	44732	21391	33	19	1.13
بدلاً	44732	21391	17	11	1.13
الشعور	44732	21391	31	18	1.13
عمل	44732	21391	21	13	1.12
شيء	44732	21391	74	38	1.11
حتّى	44732	21391	6	5	1.11
مواضيع	44732	21391	6	5	1.11
الزوار	44732	21391	6	5	1.11
تذكر	44732	21391	6	5	1.11
محتويات	44732	21391	6	5	1.11
١	44732	21391	6	5	1.11
٢	44732	21391	6	5	1.11
عليهم	44732	21391	6	5	1.11
ففي	44732	21391	6	5	1.11
بقوة	44732	21391	6	5	1.11
أمير	44732	21391	6	5	1.11
الأجل	44732	21391	6	5	1.11
الانسان	44732	21391	6	5	1.11
عنها	44732	21391	6	5	1.11
اعتبر	44732	21391	6	5	1.11
والتطلع	44732	21391	6	5	1.11
وفقدان	44732	21391	6	5	1.11
معه	44732	21391	6	5	1.11
وأنّ	44732	21391	6	5	1.11
الشاعر	44732	21391	6	5	1.11
يميز	44732	21391	6	5	1.11
بمثابة	44732	21391	6	5	1.11
المتعلقة	44732	21391	6	5	1.11
السياسة	44732	21391	6	5	1.11
العمل	44732	21391	46	25	1.10
التفاؤل	44732	21391	94	46	1.10
إذا	44732	21391	93	44	1.08
مثل	44732	21391	54	28	1.04
الفقي	44732	21391	8	6	1.04
الحديث	44732	21391	8	6	1.04
يعد	44732	21391	8	6	1.04
ضد	44732	21391	8	6	1.04
يتمتعون	44732	21391	8	6	1.04
عمله	44732	21391	8	6	1.04
يستبعد	44732	21391	8	6	1.04
ذاته	44732	21391	8	6	1.04
6	44732	21391	8	6	1.04
الإسلام	44732	21391	8	6	1.04
والسعادة	44732	21391	8	6	1.04
الحاجة	44732	21391	8	6	1.04
سنيدير	44732	21391	8	6	1.04
يخيب	44732	21391	8	6	1.04
عشر	44732	21391	8	6	1.04
المطلق	44732	21391	8	6	1.04
هناك	44732	21391	67	33	1.02
بعد	44732	21391	69	33	1.02
وتفاؤل	44732	21391	10	7	1.01
قلبك	44732	21391	10	7	1.01
لي	44732	21391	10	7	1.01
أقل	44732	21391	10	7	1.01
ولولا	44732	21391	10	7	1.01
الكبير	44732	21391	10	7	1.01
يستطيع	44732	21391	10	7	1.01
المزيد	44732	21391	10	7	1.01
المعنى	44732	21391	10	7	1.01
وقال	44732	21391	10	7	1.01
يزعم	44732	21391	10	7	1.01
بهذا	44732	21391	10	7	1.01
عام	44732	21391	10	7	1.01
وفقًا	44732	21391	10	7	1.01
السعادة	44732	21391	22	13	1.01
ذلك،	44732	21391	20	12	1.00
الأوقات	44732	21391	18	11	1.00
الموت	44732	21391	18	11	1.00
هل	44732	21391	18	11	1.00
المقال	44732	21391	18	11	1.00
Kierkegaard	44732	21391	18	11	1.00
الغد	44732	21391	12	8	1.00
قصيدة	44732	21391	12	8	1.00
يلعب	44732	21391	12	8	1.00
وكان	44732	21391	12	8	1.00
فهم	44732	21391	12	8	1.00
فكرة	44732	21391	14	9	0.99
العمل،	44732	21391	14	9	0.99
به	44732	21391	60	29	0.99
يعيش	44732	21391	33	18	0.99
أي	44732	21391	54	27	0.99
خلال	44732	21391	47	24	0.98
الدنيا	44732	21391	31	17	0.98
وفي	44732	21391	54	26	0.97
حامد	44732	21391	3	3	0.96
١٤	44732	21391	3	3	0.96
تزداد	44732	21391	3	3	0.96
أنّها	44732	21391	3	3	0.96
بالمنطق	44732	21391	3	3	0.96
إيجابياً	44732	21391	3	3	0.96
بمجرد	44732	21391	3	3	0.96
الأبد	44732	21391	3	3	0.96
يُضيء	44732	21391	3	3	0.96
دروب	44732	21391	3	3	0.96
جوهر	44732	21391	3	3	0.96
بمستويات	44732	21391	3	3	0.96
اليومية	44732	21391	3	3	0.96
قصص	44732	21391	3	3	0.96
the	44732	21391	3	3	0.96
رجاء	44732	21391	3	3	0.96
سلبية	44732	21391	3	3	0.96
16	44732	21391	3	3	0.96
17	44732	21391	3	3	0.96
33	44732	21391	3	3	0.96
المرتبط	44732	21391	3	3	0.96
بحر	44732	21391	3	3	0.96
«الأمل	44732	21391	3	3	0.96
عزّ	44732	21391	3	3	0.96
ويبقى	44732	21391	3	3	0.96
تعد	44732	21391	3	3	0.96
المجالات	44732	21391	3	3	0.96
22	44732	21391	3	3	0.96
حاجتنا	44732	21391	3	3	0.96
حصوله،	44732	21391	3	3	0.96
كالروح	44732	21391	3	3	0.96
بني	44732	21391	3	3	0.96
تحققت	44732	21391	3	3	0.96
وصلت	44732	21391	3	3	0.96
الظاهر	44732	21391	3	3	0.96
عَنْ	44732	21391	3	3	0.96
المعاصر	44732	21391	3	3	0.96
إحساس	44732	21391	3	3	0.96
الانكسار	44732	21391	3	3	0.96
فلسفي	44732	21391	3	3	0.96
العصور	44732	21391	3	3	0.96
الوجودية	44732	21391	3	3	0.96
أحدها	44732	21391	3	3	0.96
والنفسية	44732	21391	3	3	0.96
Gallagher	44732	21391	3	3	0.96
Lopez	44732	21391	3	3	0.96
العلاج	44732	21391	3	3	0.96
الفن	44732	21391	3	3	0.96
تثبت	44732	21391	3	3	0.96
مجردة،	44732	21391	3	3	0.96
لتعزيز	44732	21391	3	3	0.96
وعلاقته	44732	21391	3	3	0.96
العلوم	44732	21391	3	3	0.96
أثره	44732	21391	3	3	0.96
المعنوية	44732	21391	3	3	0.96
وجد	44732	21391	3	3	0.96
وإيجابية	44732	21391	3	3	0.96
تطبيق	44732	21391	3	3	0.96
يكونوا	44732	21391	3	3	0.96
يعطي	44732	21391	3	3	0.96
كبرى	44732	21391	3	3	0.96
وكلام	44732	21391	3	3	0.96
الزمن	44732	21391	3	3	0.96
لخيار	44732	21391	3	3	0.96
حصوله	44732	21391	3	3	0.96
شعار	44732	21391	3	3	0.96
قسم	44732	21391	3	3	0.96
عاطفي	44732	21391	3	3	0.96
القنوط	44732	21391	3	3	0.96
زاد	44732	21391	3	3	0.96
أبدًا،	44732	21391	3	3	0.96
OujdaCity	44732	21391	3	3	0.96
Flux	44732	21391	3	3	0.96
alternate	44732	21391	3	3	0.96
ودوره	44732	21391	3	3	0.96
يقتصر	44732	21391	3	3	0.96
دائما	44732	21391	3	3	0.96
قصائد	44732	21391	3	3	0.96
حلم	44732	21391	3	3	0.96
بغير	44732	21391	3	3	0.96
اثنتين	44732	21391	3	3	0.96
نقيضه	44732	21391	3	3	0.96
للكفر،	44732	21391	3	3	0.96
الإنجاز	44732	21391	3	3	0.96
نتحدث	44732	21391	3	3	0.96
وجودية،	44732	21391	3	3	0.96
يهدف	44732	21391	3	3	0.96
حدود	44732	21391	3	3	0.96
لدور	44732	21391	3	3	0.96
الأولية	44732	21391	3	3	0.96
الإطار	44732	21391	3	3	0.96
يتحدث	44732	21391	3	3	0.96
زالت	44732	21391	3	3	0.96
الإلهي	44732	21391	3	3	0.96
ظلمات	44732	21391	3	3	0.96
ترك	44732	21391	3	3	0.96
مضار	44732	21391	3	3	0.96
والإغريق	44732	21391	3	3	0.96
ذهنية	44732	21391	3	3	0.96
تشارلز	44732	21391	3	3	0.96
قدرتنا	44732	21391	3	3	0.96
ويسعدك	44732	21391	3	3	0.96
خضاره	44732	21391	3	3	0.96
تعبير	44732	21391	3	3	0.96
51	44732	21391	3	3	0.96
ميثاق	44732	21391	3	3	0.96
الرابطة	44732	21391	3	3	0.96
عملي	44732	21391	3	3	0.96
مستقلة	44732	21391	3	3	0.96
الكامنة	44732	21391	3	3	0.96
2000	44732	21391	3	3	0.96
المتعارف	44732	21391	3	3	0.96
المقام	44732	21391	3	3	0.96
عقلية	44732	21391	3	3	0.96
يُعرف	44732	21391	3	3	0.96
يسمي	44732	21391	3	3	0.96
يفسر	44732	21391	3	3	0.96
لفهم	44732	21391	3	3	0.96
الكانطي	44732	21391	3	3	0.96
الدنيوي	44732	21391	3	3	0.96
تقييم	44732	21391	3	3	0.96
الذاتية	44732	21391	3	3	0.96
حين	44732	21391	43	22	0.96
سبحانه	44732	21391	27	15	0.96
بالنسبة	44732	21391	27	15	0.96
الأهداف	44732	21391	27	15	0.96
صلى	44732	21391	27	15	0.96
لأنه	44732	21391	27	15	0.96
الشخص	44732	21391	49	24	0.95
هي	44732	21391	50	24	0.95
التشاؤم	44732	21391	25	14	0.94
كانت	44732	21391	45	22	0.93
ومن	44732	21391	42	21	0.93
فيما	44732	21391	37	19	0.92
إذ	44732	21391	37	19	0.92
يبدو	44732	21391	21	12	0.92
2	44732	21391	21	12	0.92
تحقيق	44732	21391	40	20	0.92
يجعل	44732	21391	19	11	0.91
نعم	44732	21391	19	11	0.91
إيجابية	44732	21391	19	11	0.91
مما	44732	21391	28	15	0.90
والذي	44732	21391	28	15	0.90
فهو	44732	21391	40	19	0.90
يأتي	44732	21391	17	10	0.89
لو	44732	21391	26	14	0.89
جديدة	44732	21391	15	9	0.88
المستقبل	44732	21391	29	15	0.87
لماذا	44732	21391	13	8	0.87
قلب	44732	21391	13	8	0.87
أقوى	44732	21391	13	8	0.87
وقت	44732	21391	13	8	0.87
2010	44732	21391	13	8	0.87
السياسي	44732	21391	13	8	0.87
فارغ	44732	21391	5	4	0.87
تصنع	44732	21391	5	4	0.87
مأثورة	44732	21391	5	4	0.87
٣	44732	21391	5	4	0.87
٤	44732	21391	5	4	0.87
إجتياز	44732	21391	5	4	0.87
الإختبار	44732	21391	5	4	0.87
مشاركة	44732	21391	5	4	0.87
الإنجازات	44732	21391	5	4	0.87
عالية	44732	21391	5	4	0.87
7	44732	21391	5	4	0.87
الروايات	44732	21391	5	4	0.87
فيكون	44732	21391	5	4	0.87
الروحي	44732	21391	5	4	0.87
وعدم	44732	21391	5	4	0.87
النفسي،	44732	21391	5	4	0.87
قدمًا	44732	21391	5	4	0.87
المعرفة	44732	21391	5	4	0.87
إطار	44732	21391	5	4	0.87
Snyder	44732	21391	5	4	0.87
عربية	44732	21391	5	4	0.87
التربية	44732	21391	5	4	0.87
قراءة	44732	21391	5	4	0.87
والقلق	44732	21391	5	4	0.87
بان	44732	21391	5	4	0.87
إيجاد	44732	21391	5	4	0.87
الزهرة	44732	21391	5	4	0.87
تفعل	44732	21391	5	4	0.87
للإيمان،	44732	21391	5	4	0.87
أعمق	44732	21391	5	4	0.87
خلق	44732	21391	5	4	0.87
أمور	44732	21391	5	4	0.87
سياق	44732	21391	5	4	0.87
الإيمان،	44732	21391	5	4	0.87
المسيحي	44732	21391	5	4	0.87
كونه	44732	21391	5	4	0.87
السؤال	44732	21391	5	4	0.87
أوغسطينوس	44732	21391	5	4	0.87
الماضي	44732	21391	5	4	0.87
يجادل	44732	21391	5	4	0.87
1990	44732	21391	5	4	0.87
التعريف	44732	21391	5	4	0.87
اليوم	44732	21391	22	12	0.86
الى	44732	21391	22	12	0.86
إلّا	44732	21391	11	7	0.85
التفسيرات	44732	21391	11	7	0.85
قدرة	44732	21391	11	7	0.85
لمواجهة	44732	21391	11	7	0.85
يؤكد	44732	21391	11	7	0.85
العيش	44732	21391	11	7	0.85
نوع	44732	21391	11	7	0.85
داخل	44732	21391	11	7	0.85
دورًا	44732	21391	11	7	0.85
القسم	44732	21391	9	6	0.85
خاصة	44732	21391	9	6	0.85
نتائج	44732	21391	9	6	0.85
إنما	44732	21391	9	6	0.85
الثانية	44732	21391	9	6	0.85
حياتك	44732	21391	9	6	0.85
2002	44732	21391	9	6	0.85
1952	44732	21391	9	6	0.85
الألم	44732	21391	7	5	0.84
يتجلى	44732	21391	7	5	0.84
أيضا	44732	21391	7	5	0.84
8	44732	21391	7	5	0.84
12	44732	21391	7	5	0.84
يمتلك	44732	21391	7	5	0.84
يجد	44732	21391	7	5	0.84
تاريخ	44732	21391	7	5	0.84
الضيق	44732	21391	7	5	0.84
حالات	44732	21391	7	5	0.84
2012	44732	21391	7	5	0.84
إيجابي	44732	21391	7	5	0.84
نطاق	44732	21391	7	5	0.84
يعتمد	44732	21391	7	5	0.84
وحده	44732	21391	7	5	0.84
كتاباته	44732	21391	7	5	0.84
مقياس	44732	21391	7	5	0.84
الخلاص	44732	21391	7	5	0.84
القديمة	44732	21391	7	5	0.84
لـ	44732	21391	7	5	0.84
مرتبط	44732	21391	7	5	0.84
يتضمن	44732	21391	7	5	0.84
وجود	44732	21391	20	11	0.84
صاحب	44732	21391	20	11	0.84
الأشخاص	44732	21391	25	13	0.84
قوة	44732	21391	25	13	0.84
فلا	44732	21391	28	13	0.83
التحديات	44732	21391	18	10	0.82
وجل	44732	21391	23	12	0.82
المرء	44732	21391	27	13	0.82
عز	44732	21391	24	12	0.80
والتي	44732	21391	25	12	0.80
يرى	44732	21391	25	12	0.80
أيضاً	44732	21391	24	11	0.80
العقل	44732	21391	22	11	0.78
أنها	44732	21391	23	11	0.78
قيمة	44732	21391	23	11	0.78
النتيجة	44732	21391	23	11	0.78
الله،	44732	21391	19	10	0.78
تعزيز	44732	21391	14	8	0.78
إبراهيم	44732	21391	14	8	0.78
الواقع	44732	21391	14	8	0.78
ترى	44732	21391	14	8	0.78
تفسير	44732	21391	14	8	0.78
غالبًا	44732	21391	21	10	0.76
علاقة	44732	21391	12	7	0.76
2015	44732	21391	12	7	0.76
“الأمل	44732	21391	19	9	0.74
الحب	44732	21391	18	9	0.74
يعتبر	44732	21391	18	9	0.74
القوة	44732	21391	15	8	0.73
الإنسانية	44732	21391	15	8	0.73
أم	44732	21391	15	8	0.73
قبل	44732	21391	15	8	0.73
يحدث	44732	21391	10	6	0.73
الصبر	44732	21391	10	6	0.73
المؤمنين	44732	21391	10	6	0.73
نفس	44732	21391	10	6	0.73
والمستقبل	44732	21391	10	6	0.73
عبر	44732	21391	10	6	0.73
السياق	44732	21391	10	6	0.73
الأكثر	44732	21391	10	6	0.73
يتطلب	44732	21391	10	6	0.73
الشجاعة	44732	21391	10	6	0.73
لهذا	44732	21391	10	6	0.73
2013	44732	21391	10	6	0.73
عدم	44732	21391	17	8	0.72
يدفع	44732	21391	17	8	0.72
بأنه	44732	21391	17	8	0.72
هنا	44732	21391	16	8	0.71
نظرة	44732	21391	16	8	0.71
كتابه	44732	21391	16	8	0.71
لكنه	44732	21391	13	7	0.70
الجيدة	44732	21391	8	5	0.70
وسيلة	44732	21391	8	5	0.70
علاج	44732	21391	8	5	0.70
وآله	44732	21391	8	5	0.70
لقد	44732	21391	8	5	0.70
الفرق	44732	21391	8	5	0.70
نسيان	44732	21391	8	5	0.70
والإيمان	44732	21391	8	5	0.70
محل	44732	21391	8	5	0.70
المرجع	44732	21391	8	5	0.70
سبب	44732	21391	8	5	0.70
الظلام	44732	21391	8	5	0.70
القياسي	44732	21391	8	5	0.70
عقلاني	44732	21391	8	5	0.70
التصور	44732	21391	8	5	0.70
يأس	44732	21391	15	7	0.69
الظروف	44732	21391	15	7	0.69
الآخرة	44732	21391	14	7	0.68
أنظر	44732	21391	14	7	0.68
أحياناً	44732	21391	6	4	0.67
مصطفى	44732	21391	6	4	0.67
توماس	44732	21391	6	4	0.67
شاهدوا	44732	21391	6	4	0.67
وتعزيز	44732	21391	6	4	0.67
تفسد	44732	21391	6	4	0.67
نفوس	44732	21391	6	4	0.67
الأمل؛	44732	21391	6	4	0.67
بحيث	44732	21391	6	4	0.67
ضمن	44732	21391	6	4	0.67
تشير	44732	21391	6	4	0.67
كلمة	44732	21391	6	4	0.67
العقلية	44732	21391	6	4	0.67
المشاعر	44732	21391	6	4	0.67
فهذا	44732	21391	6	4	0.67
للتعامل	44732	21391	6	4	0.67
حقيقية	44732	21391	6	4	0.67
أضيق	44732	21391	6	4	0.67
معًا	44732	21391	6	4	0.67
حجة	44732	21391	6	4	0.67
بالعمل	44732	21391	6	4	0.67
حدث	44732	21391	6	4	0.67
بناء	44732	21391	6	4	0.67
وطول	44732	21391	6	4	0.67
الخاصة	44732	21391	6	4	0.67
مسألة	44732	21391	6	4	0.67
الإنسانية،	44732	21391	6	4	0.67
المرجوة	44732	21391	6	4	0.67
يريد	44732	21391	6	4	0.67
عقلانيًا	44732	21391	6	4	0.67
العقلاني	44732	21391	6	4	0.67
عاطفة	44732	21391	6	4	0.67
والخوف	44732	21391	6	4	0.67
et	44732	21391	6	4	0.67
al	44732	21391	6	4	0.67
يقترح	44732	21391	6	4	0.67
2019	44732	21391	6	4	0.67
يتجاوز	44732	21391	6	4	0.67
أنّ	44732	21391	11	6	0.67
الحاضر	44732	21391	11	6	0.67
الفلاسفة	44732	21391	11	6	0.67
التعامل	44732	21391	11	6	0.67
يوجد	44732	21391	11	6	0.67
نظر	44732	21391	11	6	0.67
سبينوزا	44732	21391	11	6	0.67
أمامنا	44732	21391	13	6	0.67
يفتح	44732	21391	13	6	0.67
